-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |      Ei           Ek      |     Lower level      |     Upper level     |  gi   gk  |Type|         TP  |   Line  |
    Wavelength    |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------|---------------------|           |    |        Ref. |   Ref.  |
     Air (nm)     |       |            |      |                           | Conf.   | Term | J   | Conf.  | Term | J   |           |    |             |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf  |L Term| L J | U Conf |U Term| U J |   gi - gk |Type|       TP    |   Line  |
        663.0834  |     2 |            |      |  43503.333  -   58580.23  | 3s.4s   | 1S   | 0   | 3s.7p  | 1P*  | 1   |   1 - 3   |    |             |  L6095  |
        689.4898  |     4 |            |      |  46403.065  -   60902.50  | 3s.3d   | 1D   | 2   | 3s.12f | 1F*  | 3   |   5 - 7   |    |             |  L6095  |
        696.5404  |     6 |            |      |  46403.065  -   60755.764 | 3s.3d   | 1D   | 2   | 3s.11f | 1F*  | 3   |   5 - 7   |    |             |  L6095  |
        706.0409  |     8 | 8.51e+05   | D    |  46403.065  -   60562.637 | 3s.3d   | 1D   | 2   | 3s.10f | 1F*  | 3   |   5 - 7   |    |    T6298c72 |  L6095  |
        719.3172  |    10 | 1.18e+06   | D    |  46403.065  -   60301.283 | 3s.3d   | 1D   | 2   | 3s.9f  | 1F*  | 3   |   5 - 7   |    |    T6298c72 |  L6095  |
        729.1060  |    10 | 6.27e+04   | C+   |  43503.333  -   57214.992 | 3s.4s   | 1S   | 0   | 3s.6p  | 1P*  | 1   |   1 - 3   |    |       T5539 |  L6095  |
        738.7004  |     5 |            |      |  46403.065  -   59936.63  | 3s.3d   | 1D   | 2   | 3s.9p  | 1P*  | 1   |   5 - 3   |    |             |  L6095  |
        738.7685  |    12 | 1.74e+06   | C+   |  46403.065  -   59935.370 | 3s.3d   | 1D   | 2   | 3s.8f  | 1F*  | 3   |   5 - 7   |    |       T5539 |  L6095  |
        765.7603  |    20 | 1.23e+06   | C    |  41197.403  -   54252.726 | 3s.4s   | 3S   | 1   | 3s.5p  | 3P*  | 2   |   3 - 5   |    | T6298c72,LS |  L6095  |
        765.9152  |    19 | 1.23e+06   | C    |  41197.403  -   54250.086 | 3s.4s   | 3S   | 1   | 3s.5p  | 3P*  | 1   |   3 - 3   |    | T6298c72,LS |  L6095  |
        765.9902  |    17 | 1.23e+06   | D+   |  41197.403  -   54248.809 | 3s.4s   | 3S   | 1   | 3s.5p  | 3P*  | 0   |   3 - 1   |    | T6298c72,LS |  L6095  |
        769.0165  |     8 |            |      |  46403.065  -   59403.18  | 3s.3d   | 1D   | 2   | 3s.8p  | 1P*  | 1   |   5 - 3   |    |             |  L6095  |
        769.1550  |    15 | 2.66e+06   | B    |  46403.065  -   59400.763 | 3s.3d   | 1D   | 2   | 3s.7f  | 1F*  | 3   |   5 - 7   |    |       T5539 |  L6095  |
        772.2614  |    1* |            |      |  47957.027  -   60902.50  | 3s.3d   | 3D   | 2   | 3s.12f | 3F*  | 3   |   5 - 7   |    |             |  L6095  |
        772.2614  |    1* |            |      |  47957.045  -   60902.50  | 3s.3d   | 3D   | 3   | 3s.12f | 3F*  | 4   |   7 - 9   |    |             |  L6095  |
        772.2614  |    1* |            |      |  47957.058  -   60902.50  | 3s.3d   | 3D   | 1   | 3s.12f | 3F*  | 2   |   3 - 5   |    |             |  L6095  |
        774.6343  |     1 |            |      |  35051.264  -   47957.027 | 3s.3p   | 1P*  | 1   | 3s.3d  | 3D   | 2   |   3 - 5   |    |             |  L6095  |
        775.9297  |     1 |            |      |  47851.162  -   60735.38  | 3s.4p   | 3P*  | 2   | 3s.11d | 3D   | 3   |   5 - 7   |    |             |  L6095  |
        781.1135  |    3* |            |      |  47957.027  -   60755.764 | 3s.3d   | 3D   | 2   | 3s.11f | 3F*  | 3   |   5 - 7   |    |             |  L6095  |
        781.1135  |    3* |            |      |  47957.045  -   60755.764 | 3s.3d   | 3D   | 3   | 3s.11f | 3F*  | 4   |   7 - 9   |    |             |  L6095  |
        781.1135  |    3* |            |      |  47957.058  -   60755.764 | 3s.3d   | 3D   | 1   | 3s.11f | 3F*  | 2   |   3 - 5   |    |             |  L6095  |
        788.1667  |     2 | 4.56e+05   | D    |  47851.162  -   60535.34  | 3s.4p   | 3P*  | 2   | 3s.10d | 3D   | 3   |   5 - 7   |    | T6298c72,LS |  L6095  |
        793.0806  |    7* | 4.78e+05   | D    |  47957.027  -   60562.637 | 3s.3d   | 3D   | 2   | 3s.10f | 3F*  | 3   |   5 - 7   |    | T6298c72,LS |  L6095  |
        793.0806  |    7* | 5.38e+05   | D    |  47957.045  -   60562.637 | 3s.3d   | 3D   | 3   | 3s.10f | 3F*  | 4   |   7 - 9   |    | T6298c72,LS |  L6095  |
        793.0806  |    7* | 4.52e+05   | D    |  47957.058  -   60562.637 | 3s.3d   | 3D   | 1   | 3s.10f | 3F*  | 2   |   3 - 5   |    | T6298c72,LS |  L6095  |
        794.707   |     2 | 2.91e+04   | E    |  47841.119  -   60420.87  | 3s.4p   | 3P*  | 0   | 3s.11s | 3S   | 1   |   1 - 3   |    | T6298c72,LS |  L4832  |
        795.339   |     3 | 1.45e+05   | D    |  47851.162  -   60420.87  | 3s.4p   | 3P*  | 2   | 3s.11s | 3S   | 1   |   5 - 3   |    | T6298c72,LS |  L4832  |
