-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |           Rel. |    Aki     | Acc. |      Ei           Ek      |        Lower level         |        Upper level         |  gi   gk  |   Type|    TP  |         Line  |
   Wavelength   |           Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------------|----------------------------|           |       |   Ref. |         Ref.  |
    Air (nm)    |                |            |      |                           | Conf.         | Term | J   | Conf.         | Term | J   |           |       |        |               |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel           |    Aki     | Acc  |              Ei - Ek      | L Conf        |L Term| L J | U Conf        |U Term| U J |   gi - gk |Type   |  TP    |   Line        |
       321.5633 |            400 | 6.e+05     | D    |   82495.15  -   113584.31 | 3d5.(a 2D).4s | 3D   | 1   | 3d5.(4G).4p   | 5G*  | 2   |   3 - 5   |       |  T6105 |        L1171  |
       321.8340 |            290 | 1.0e+06    | D    |  117950.17  -   149013.21 | 3d5.(b 2G).4s | 1G   | 4   | 3d5.(2H).4p   | 1G*  | 4   |   9 - 9   |       |  T6105 |        L1171  |
       323.016  |    110bl(Fe I) |            |      |  158729.33  -   189679.21 | 3d5.(b 2D).4p | 3D*  | 3   | 3d5.(4D).5s   | 3D   | 3   |   7 - 7   |       |        |        L1171  |
       323.5475 |             31 |            |      |  105895.34  -   136793.80 | 3d5.(b 2D).4s | 3D   | 1   | 3d5.(a 2F).4p | 3F*  | 2   |   3 - 5   |       |        |        L1171  |
       323.661  |    50bl(Fe II) |            |      |  105906.27  -   136793.80 | 3d5.(b 2D).4s | 3D   | 2   | 3d5.(a 2F).4p | 3F*  | 2   |   5 - 5   |       |        |        L1171  |
       323.7203 |            200 | 1.0e+06    | D    |  109570.98  -   140453.14 | 3d5.(b 2D).4s | 1D   | 2   | 3d5.(a 2F).4p | 1F*  | 3   |   5 - 7   |       |  T6105 |        L1171  |
       323.8711 |             69 |            |      |  105929.25  -   136796.90 | 3d5.(b 2D).4s | 3D   | 3   | 3d5.(a 2F).4p | 3F*  | 3   |   7 - 7   |       |        |        L1171  |
       323.903  |     79bl(Fe I) |            |      |  105929.25  -   136793.80 | 3d5.(b 2D).4s | 3D   | 3   | 3d5.(a 2F).4p | 3F*  | 2   |   7 - 5   |       |        |        L1171  |
       324.157  |    23bl(Fe I)* |            |      |  120697.39  -   151538.07 | 3d5.(4D).4p   | 5F*  | 1   | 3d5.(6S).4d   | 5D   | 0   |   3 - 1   |       |        |        L1171  |
       324.157  |    23bl(Fe I)* |            |      |  120697.39  -   151536.85 | 3d5.(4D).4p   | 5F*  | 1   | 3d5.(6S).4d   | 5D   | 1   |   3 - 3   |       |        |        L1171  |
       324.9058 |             24 |            |      |   90472.61  -   121241.90 | 3d5.(4F).4s   | 3F   | 4   | 3d5.(4D).4p   | 5F*  | 4   |   9 - 9   |       |        |        L1171  |
       325.525  |            59p |            |      |  120826.34  -   151536.85 | 3d5.(4D).4p   | 5F*  | 2   | 3d5.(6S).4d   | 5D   | 1   |   5 - 3   |       |        |        L1171  |
       325.5485 |             53 |            |      |  120826.34  -   151535.03 | 3d5.(4D).4p   | 5F*  | 2   | 3d5.(6S).4d   | 5D   | 2   |   5 - 5   |       |        |        L1171  |
       325.6550 |             38 |            |      |  114340.26  -   145038.62 | 3d5.(b 2G).4s | 3G   | 4   | 3d5.(a 2G).4p | 1F*  | 3   |   9 - 7   |       |        |        L1171  |
       326.2455 |            220 |            |      |  114325.49  -   144968.41 | 3d5.(b 2G).4s | 3G   | 5   | 3d5.(b 2F).4p | 3F*  | 4   |  11 - 9   |       |        |        L1171  |
       326.3065 |             29 |            |      |  105895.34  -   136532.32 | 3d5.(b 2D).4s | 3D   | 1   | 3d5.(a 2F).4p | 3D*  | 2   |   3 - 5   |       |        |        L1171  |
       326.4250 |             29 |            |      |  105906.27  -   136532.32 | 3d5.(b 2D).4s | 3D   | 2   | 3d5.(a 2F).4p | 3D*  | 2   |   5 - 5   |       |        |        L1171  |
       326.5304 |             32 |            |      |  114352.21  -   144968.41 | 3d5.(b 2G).4s | 3G   | 3   | 3d5.(b 2F).4p | 3F*  | 4   |   7 - 9   |       |        |        L1171  |
       326.6885 |           1900 | 2.2e+06    | D    |   83138.66  -   113739.99 | 3d5.(4F).4s   | 5F   | 5   | 3d5.(4G).4p   | 5G*  | 6   |  11 - 13  |       |  T6105 |        L1171  |
       326.803  |            55h |            |      |  183456.79  -   214047.58 | 3d5.(4G).5s   | 3G   | 3   | 3d5.(2I).5p   | 3H*  | 4   |   7 - 9   |       |        |        L1171  |
       327.024  |            43s |            |      |  105895.34  -   136464.80 | 3d5.(b 2D).4s | 3D   | 1   | 3d5.(4F).4p   | 5F*  | 1   |   3 - 3   |       |        |        L1171  |
       327.147  |     45bl(Fe I) |            |      |  105906.27  -   136464.80 | 3d5.(b 2D).4s | 3D   | 2   | 3d5.(4F).4p   | 5F*  | 1   |   5 - 3   |       |        |        L1171  |
       327.202  |            55w |            |      |  183457.30  -   214010.52 | 3d5.(4G).5s   | 3G   | 4   | 3d5.(2I).5p   | 3H*  | 5   |   9 - 11  |       |        |        L1171  |
       327.313  |            90h |            |      |  183431.43  -   213974.60 | 3d5.(4G).5s   | 3G   | 5   | 3d5.(2I).5p   | 3H*  | 6   |  11 - 13  |       |        |        L1171  |
       327.3600 |            120 |            |      |   83138.66  -   113677.29 | 3d5.(4F).4s   | 5F   | 5   | 3d5.(4G).4p   | 5G*  | 5   |  11 - 11  |       |        |        L1171  |
       327.386  |            36h |            |      |   90472.61  -   121008.91 | 3d5.(4F).4s   | 3F   | 4   | 3d5.(4D).4p   | 5F*  | 3   |   9 - 7   |       |        |        L1171  |
       327.495  |           89l* |            |      |  121008.91  -   151535.03 | 3d5.(4D).4p   | 5F*  | 3   | 3d5.(6S).4d   | 5D   | 2   |   7 - 5   |       |        |        L1171  |
       327.495  |           89l* |            |      |  121008.91  -   151534.30 | 3d5.(4D).4p   | 5F*  | 3   | 3d5.(6S).4d   | 5D   | 3   |   7 - 7   |       |        |        L1171  |
       327.6079 |           1400 | 2.0e+06    | D    |   83161.80  -   113677.29 | 3d5.(4F).4s   | 5F   | 4   | 3d5.(4G).4p   | 5G*  | 5   |   9 - 11  |       |  T6105 |        L1171  |
       327.807  |    12bl(Fe II) |            |      |   83138.66  -   113635.56 | 3d5.(4F).4s   | 5F   | 5   | 3d5.(4G).4p   | 5G*  | 4   |  11 - 9   |       |        |        L1171  |
