-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |      Rel. |    Aki     | Acc. |      Ei           Ek      |             Lower level             |              Upper level               |  gi   gk  |Type|               TP  |       Line  |
     Wavelength     |      Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |-------------------------------------|----------------------------------------|           |    |              Ref. |       Ref.  |
      Air (nm)      |           |            |      |                           | Conf.                 | Term  | J   | Conf.                 | Term     | J   |           |    |                   |             |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel      |    Aki     | Acc  |              Ei - Ek      | L Conf                |L Term | L J | U Conf                |U Term    | U J |   gi - gk |Type|             TP    |    Line     |
         303.1471   |         0 |            |      |  20874.482  -   53852.114 | 3d6.4s2               | b 3F2 | 3   | 3d7.(4F).5p           | 5G*      | 4   |   7 - 9   |    |                   |  L11631c80  |
         303.16364  |     10500 | 1.38e+07   | D+   |   8154.714  -   41130.599 | 3d7.(4F).4s           | a 5F  | 1   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 1   |   3 - 3   |    |             T5720 |     L11631  |
         303.1712   |         2 |            |      |  24180.862  -   57155.857 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 7G       | 4   |   7 - 9   |    |                   |  L11631c80  |
         303.1860   |      (0)? |            |      |  27559.583  -   60533.113 | 3d6.(5D).4s.4p.(3P*)  | z 5F* | 2   | 3d6.(5D).4p2.(3P)     | 7F       | 2   |   5 - 5   |    |                   |  L11631c81  |
         303.2051   |       0d? |            |      |  23783.619  -   56754.932 | 3d6.4s2               | b 3G  | 5   | 3d6.4s.(6D<9/2>).4f   | 2[9/2]*  | 4   |  11 - 9   |    |                   |  L11631c80  |
         303.3097   |         3 | 5.26e+06   | C+   |  19552.478  -   52512.457 | 3d6.4s2               | a 3P2 | 1   | 3d7.(2P).4p           | u 3D*    | 1   |   3 - 3   |    |             T5720 |  L11631c80  |
         303.3796   |         0 |            |      |  22838.323  -   55790.696 | 3d7.(4P).4s           | b 3P  | 2   | 3d6.(1G2).4s.4p.(3P*) | s 3G*    | 3   |   5 - 7   |    |                   |  L11631c80  |
         303.4479   |     (2)bl |            |      |  12968.554  -   45913.497 | 3d7.(4F).4s           | a 3F  | 2   | 3d6.(3F2).4s.4p.(3P*) | x 5G*    | 3   |   5 - 7   |    |                   |  L11631c81  |
         303.45364  |       347 |            |      |  24180.862  -   57125.250 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 5F       | 4   |   7 - 9   |    |                   |     L11631  |
         303.4592   |         1 |            |      |  24506.917  -   57450.664 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 2   | 3d6.4s.(6D).5d        | 7G       | 2   |   5 - 5   |    |                   |  L11631c80  |
         303.57354  |       214 |            |      |  24506.917  -   57438.267 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 2   | 3d6.4s.(6D).5d        | 7S       | 3   |   5 - 7   |    |                   |     L11631  |
         303.7161   |       0d? |            |      |  22838.323  -   55754.233 | 3d7.(4P).4s           | b 3P  | 2   | 3d7.(2D2).4p          | w 1D*    | 2   |   5 - 5   |    |                   |  L11631c80  |
         303.73885  |     98000 | 2.91e+07   | B    |    888.132  -   33801.572 | 3d6.4s2               | a 5D  | 1   | 3d7.(4F).4p           | y 5D*    | 2   |   3 - 5   |    |             T5720 |     L11631  |
         303.7542   |       0d? |            |      |  26339.696  -   59251.39  | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 2   | 3d6.4s.(6D<9/2>).6d   | 2[7/2]   | 3   |   5 - 7   |    |                   |  L11631c80  |
         303.7685   |       (0) |            |      |  20874.482  -   53784.750 | 3d6.4s2               | b 3F2 | 3   | 3d7.(4F).5p           | 5D*      | 3   |   7 - 7   |    |                   |  L11631c81  |
         303.77794  |       850 | 3.44e+05   | B    |   7985.785  -   40894.990 | 3d7.(4F).4s           | a 5F  | 2   | 3d6.(3P2).4s.4p.(3P*) | z 5S*    | 2   |   5 - 5   |    |             T5720 |     L11631  |
         303.7782   |       3bl |            |      |  27166.820  -   60075.924 | 3d6.(5D).4s.4p.(3P*)  | z 5F* | 4   | 3d6.4s.(6D<3/2>).6d   | 2[5/2]   | 3   |   9 - 7   |    |                   |  L11631c80  |
         303.8312   |         3 |            |      |  24180.862  -   57084.281 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 7F       | 3   |   7 - 7   |    |                   |  L11631c80  |
         303.8974   |         0 |            |      |  24506.917  -   57403.134 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 2   | 3d6.4s.(6D).5d        | 5P       | 2   |   5 - 5   |    |                   |  L11631c80  |
         303.93169  |       309 | 1.60e+06   | C+   |  19621.006  -   52513.560 | 3d6.4s2               | a 3H  | 5   | 3d7.(2H).4p           | y 3I*    | 6   |  11 - 13  |    |             T5720 |     L11631  |
         303.9598   |    (0)bl? |            |      |  24180.862  -   57070.371 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 7D       | 3   |   7 - 7   |    |                   |  L11631c81  |
         304.04271  |     16600 | 2.45e+06   | D+   |   7376.764  -   40257.314 | 3d7.(4F).4s           | a 5F  | 4   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 5   |   9 - 11  |    |             T5720 |     L11631  |
