-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |   Rel. |    Aki     | Acc. |      Ei           Ek       |              Lower level              |              Upper level               |  gi   gk  |Type|      TP  |  Line  |
   Wavelength   |   Int. |   (s^-1)   |      |    (cm-1)       (cm-1)     |---------------------------------------|----------------------------------------|           |    |     Ref. |  Ref.  |
    Air (nm)    |        |            |      |                            | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |          |        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel   |    Aki     | Acc  |              Ei - Ek       | L Conf                |L Term   | L J | U Conf                |U Term    | U J |   gi - gk |Type|  TP      |   Line |
       311.1453 |    450 |            |      |  331707.90  -   363837.94  | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]* | 3   | 2s2.2p5.(2P*<3/2>).5f | 2[7/2]   | 4   |   7 - 9   |    |          |  L914  |
       311.2924 |     70 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       311.3693 |    500 |            |      |  331707.90  -   363814.78  | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]* | 3   | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   | 3   |   7 - 7   |    |          |  L914  |
       311.4130 |     10 |            |      |  331665.59  -   363767.98  | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]* | 2   | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   | 1   |   5 - 3   |    |          |  L914  |
       311.601  |     60 |            |      |  331707.90  -   363790.64  | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]* | 3   | 2s2.2p5.(2P*<3/2>).5f | 2[9/2]   | 4   |   7 - 9   |    |          |  L914  |
       311.7231 |    300 |            |      |  331745.06  -   363815.38  | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   | 2   |   3 - 5   |    |          |  L914  |
       311.8134 |     15 |            |      |  331707.90  -   363769.03  | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]* | 3   | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   | 2   |   7 - 5   |    |          |  L914  |
       311.915  |     40 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       312.1759 |    350 |            |      |  331745.06  -   363769.03  | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   | 2   |   3 - 5   |    |          |  L914  |
       312.2935 |    400 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       312.4415 |   1700 | 7.1e+07    | E    |  299189.96  -   331186.70  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]*  | 3   |   5 - 7   |    | T7663c78 |  L914  |
       312.5212 |    600 | 9.72e+06   | C    |  299885.37  -   331873.93  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]*  | 1   |   3 - 3   |    |    T7663 |  L914  |
       312.644  |    100 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       312.9377 |    600 | 1.28e+08   | A    |  265689.62  -   297635.61  | 2s2.2p5.3s            | 3P*     | 1   | 2s2.2p5.3p            | 3D       | 2   |   3 - 5   |    |    T7663 |  L914  |
       312.9821 |     80 |            |      |  331873.93  -   363815.38  | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   | 2   |   3 - 5   |    |          |  L914  |
       313.230  |     80 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       313.5483 |   2500 | 7.42e+07   | A    |  266281.62  -   298165.44  | 2s2.2p5.3s            | 3P*     | 0   | 2s2.2p5.3p            | 3D       | 1   |   1 - 3   |    |    T7663 |  L914  |
       313.7861 |   1700 | 1.41e+08   | B+   |  299885.37  -   331745.06  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 1   |   3 - 3   |    |    T6036 |  L914  |
       313.894  |    100 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       314.052  |     35 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       314.095  |     35 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       314.121  |     35 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       314.182  |     30 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       314.267  |     35 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       314.5706 |    950 | 4.5e+07    | C    |  299885.37  -   331665.59  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]*  | 2   |   3 - 5   |    | T7663c78 |  L914  |
       314.694  |     45 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       314.9283 |   2000 | 8.24e+07   | B+   |  268762.96  -   300507.11  | 2s2.2p5.3s            | 1P*     | 1   | 2s2.2p5.3p            | 3P       | 1   |   3 - 3   |    |    T7663 |  L914  |
       315.049  |     60 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.078  |     55 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.144  |     50 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.203  |     40 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.324  |     40 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.377  |     60 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.498  |     45 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.548  |     45 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.585  |     45 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.842  |    250 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       315.9527 |     70 | 6.5e+06    | E    |  300103.92  -   331745.06  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 1   |   5 - 3   |    | T6036c79 |  L914  |
