-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |             Rel. |    Aki     | Acc. |        Ei           Ek        |             Lower level              |              Upper level              |  gi   gk  |Type|            TP  |           Line  |
     Wavelength     |             Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |--------------------------------------|---------------------------------------|           |    |           Ref. |           Ref.  |
      Air (nm)      |                  |            |      |                               | Conf.                 | Term  | J    | Conf.                 | Term   | J    |           |    |                |                 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel             |    Aki     | Acc  |              Ei - Ek          | L Conf                |L Term | L J  | U Conf                |U Term  | U J  |   gi - gk |Type|    	  TP    |        Line     |
         302.9701   |              700 |            |      |   33466.4943  -    66463.542  | 3d6.(1G2).4s          | c 2G  | 9/2  | 3d6.(3G).4p           | y 4H*  | 11/2 |  10 - 12  |    |                |     L18349c143  |
         303.0314   |              210 |            |      |   66078.272   -    99068.465  | 3d6.(3G).4p           | x 4G* | 5/2  | 3d6.(3P2).5s          | 2P     | 3/2  |   6 - 4   |    |                |     L18349c143  |
         303.1066   |            110d? | 1.1e+06    | D    |   72238.564   -   105220.610  | 3d6.(3D).4p           | w 4F* | 5/2  | 3d6.(3H).4d           | 4F     | 7/2  |   6 - 8   |    |       T6892c83 |     L18349c143  |
         303.3435   |              800 | 1.3e+07    | D+   |   47389.809   -    80346.060  | 3d6.(5D).4p           | z 4P* | 3/2  | 3d6.(5D).5s           | e 4D   | 1/2  |   4 - 2   |    |       T6892c83 |     L18349c143  |
         303.3591   |              100 |            |      |   73969.761   -   106924.441  | 3d6.(1I).4p           | y 2I* | 11/2 | 3d6.(3F2).4d          | 2G     | 9/2  |  12 - 10  |    |                |     L18349c143  |
         303.3639   |    110bl(Fe II)* | 1.5e+06    | D+   |   73143.346   -   106097.530  | 3d6.(1G2).4p          | w 2G* | 7/2  | 3d6.(3F2).4d          | 2H     | 9/2  |   8 - 10  |    |       T6892c83 |     L18349c143  |
         303.3639   |    110bl(Fe II)* | 9.e+06     | D+   |   73091.630   -   106045.712  | 3d6.(1G2).4p          | w 2G* | 9/2  | 3d6.(3H).4d           | 2H     | 11/2 |  10 - 12  |    |       T6892c83 |     L18349c143  |
         303.45363  |      200bl(Fe I) |            |      |   75915.080   -   108859.487  | 3d6.(3D).4p           | w 2F* | 5/2  | 3d6.(3G).4d           | 4D     | 3/2  |   6 - 4   |    |                |     L18349c148  |
         303.4730   |              320 |            |      |   31483.1979  -    64425.405  | 3d6.(3D).4s           | b 4D  | 7/2  | 3d6.(3F2).4p          | z 2F*  | 5/2  |   8 - 6   |    |                |     L18349c142  |
         303.5340   |            110d? | 6.5e+06    | D+   |   72524.561   -   105460.233  | 3d6.(3D).4p           | w 4D* | 3/2  | 3d6.(3F2).4d          | 4D     | 3/2  |   4 - 4   |    |       T6892c83 |     L18349c143  |
         303.5613   |              100 | 3.4e+06    | D+   |   74498.093   -   107430.742  | 3d6.(3D).4p           | x 2D* | 3/2  | 3d6.(3F2).4d          | 2D     | 3/2  |   4 - 4   |    |       T6892c83 |     L18349c143  |
         303.69635  |             2600 | 2.2e+07    | C+   |   46967.4751  -    79885.523  | 3d6.(5D).4p           | z 4P* | 5/2  | 3d6.(5D).5s           | e 4D   | 5/2  |   6 - 6   |    |          T7466 |     L18349c139  |
         303.7626   |              310 |            |      |   33466.4943  -    66377.315  | 3d6.(1G2).4s          | c 2G  | 9/2  | 3d6.(3G).4p           | x 4F*  | 7/2  |  10 - 8   |    |                |     L18349c142  |
         303.8776   |             700d | 5.e+05     | D    |   31387.9788  -    64286.354  | 3d6.(3D).4s           | b 4D  | 5/2  | 3d6.(3F2).4p          | z 2F*  | 7/2  |   6 - 8   |    |       T6892c83 |     L18349c143  |
         303.9599   |    90bl(Fe II)?* |            |      |   75915.080   -   108804.711  | 3d6.(3D).4p           | w 2F* | 5/2  | 3d6.(3D).5s           | 4D     | 7/2  |   6 - 8   |    |                |     L18349c142  |
         303.9599   |    90bl(Fe II)?* | 1.7e+06    | D+   |   72524.561   -   105414.186  | 3d6.(3D).4p           | w 4D* | 3/2  | 3d6.(3F2).4d          | 4G     | 5/2  |   4 - 6   |    |       T6892c83 |     L18349c142  |
         303.9629   |   130bl(Fe II)?* |            |      |   72238.564   -   105127.773  | 3d6.(3D).4p           | w 4F* | 5/2  | 3d6.(5D).5d           | 4D     | 5/2  |   6 - 6   |    |                |     L18349c142  |
         303.9629   |   130bl(Fe II)?* |            |      |   65556.271   -    98445.410  | 3d6.(3H).4p           | z 2H* | 9/2  | 3d6.(3H).5s           | e 4H   | 9/2  |  10 - 10  |    |                |     L18349c142  |
