-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |  Rel. |    Aki     | Acc. |         Ei           Ek         |            Lower level             |         Upper level          |  gi   gk  |Type|               TP  |    Line  |
     Wavelength     |  Int. |   (s^-1)   |      |       (cm-1)       (cm-1)       |------------------------------------|------------------------------|           |    |              Ref. |    Ref.  |
      Air (nm)      |       |            |      |                                 | Conf.                 | Term | J   | Conf.           | Term | J   |           |    |                   |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek            | L Conf                |L Term| L J | U Conf          |U Term| U J |   gi - gk |Type|             TP    |   Line   |
         449.7658   |   11* | 1.46e+06   | B+   |   16973.36619  -    39200.93    | 2p6.3p                | 2P*  | 3/2 | 2p6.7d          | 2D   | 5/2 |   4 - 6   |    |               c30 |   L6096  |
         449.7658   |   11* | 2.44e+05   | B    |   16973.36619  -    39200.93    | 2p6.3p                | 2P*  | 3/2 | 2p6.7d          | 2D   | 3/2 |   4 - 4   |    |               c30 |   L6096  |
         454.1633   |     7 | 3.76e+05   | B    |   16956.17025  -    38968.51    | 2p6.3p                | 2P*  | 1/2 | 2p6.8s          | 2S   | 1/2 |   2 - 2   |    |               c30 |   L6096  |
         454.5186   |     8 | 7.50e+05   | B    |   16973.36619  -    38968.51    | 2p6.3p                | 2P*  | 3/2 | 2p6.8s          | 2S   | 1/2 |   4 - 2   |    |               c30 |   L6096  |
         466.48107  |     1 | 2.08e+06   | B+   |   16956.17025  -    38387.268   | 2p6.3p                | 2P*  | 1/2 | 2p6.6d          | 2D   | 3/2 |   2 - 4   |    |               c30 |  L15039  |
         466.85595  |    2* | 4.14e+05   | B+   |   16973.36619  -    38387.268   | 2p6.3p                | 2P*  | 3/2 | 2p6.6d          | 2D   | 3/2 |   4 - 4   |    |               c30 |  L15039  |
         466.85595  |    2* | 2.49e+06   | A    |   16973.36619  -    38387.255   | 2p6.3p                | 2P*  | 3/2 | 2p6.6d          | 2D   | 5/2 |   4 - 6   |    |               c30 |  L15039  |
         474.79410  |     1 | 6.19e+05   | B    |   16956.17025  -    38012.042   | 2p6.3p                | 2P*  | 1/2 | 2p6.7s          | 2S   | 1/2 |   2 - 2   |    |               c30 |  L15039  |
         475.18218  |     2 | 1.23e+06   | B    |   16973.36619  -    38012.042   | 2p6.3p                | 2P*  | 3/2 | 2p6.7s          | 2S   | 1/2 |   4 - 2   |    |               c30 |  L15039  |
         497.53     |       |            |      |  267282.3      -   287374.8     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 3/2 | 2p5.3s.(3P*).4s | 4P*  | 1/2 |   4 - 2   |    |                   |  L10065  |
         497.85414  |     1 | 4.09e+06   | A    |   16956.17025  -    37036.772   | 2p6.3p                | 2P*  | 1/2 | 2p6.5d          | 2D   | 3/2 |   2 - 4   |    |               c30 |  L15039  |
         498.28134  |     2 | 4.88e+06   | A    |   16973.36619  -    37036.752   | 2p6.3p                | 2P*  | 3/2 | 2p6.5d          | 2D   | 5/2 |   4 - 6   |    |               c30 |  L15039  |
         501.98     |       |            |      |  266933.9      -   286849.5     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 5/2 | 2p5.3s.(3P*).4s | 4P*  | 3/2 |   6 - 4   |    |                   |  L10065  |
         504.94     |       |            |      |  267576.0      -   287374.8     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 1/2 | 2p5.3s.(3P*).4s | 4P*  | 1/2 |   2 - 2   |    |                   |  L10065  |
         507.12     |   270 | 4.1e+07    | D    |  266586.7      -   286300.4     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 7/2 | 2p5.3s.(3P*).4s | 4P*  | 5/2 |   8 - 6   |    |             T5209 |   L6269  |
         510.96     |       |            |      |  267282.3      -   286849.5     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 3/2 | 2p5.3s.(3P*).4s | 4P*  | 3/2 |   4 - 4   |    |                   |  L10065  |
         514.88381  |     1 | 1.14e+06   | B+   |   16956.17025  -    36372.618   | 2p6.3p                | 2P*  | 1/2 | 2p6.6s          | 2S   | 1/2 |   2 - 2   |    |               c30 |  L15039  |
         515.34024  |     2 | 2.27e+06   | B+   |   16973.36619  -    36372.618   | 2p6.3p                | 2P*  | 3/2 | 2p6.6s          | 2S   | 1/2 |   4 - 2   |    |               c30 |  L15039  |
         516.25     |    83 | 1.5e+07    | D    |  266933.9      -   286300.4     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 5/2 | 2p5.3s.(3P*).4s | 4P*  | 5/2 |   6 - 6   |    |             T5209 |   L6269  |
