------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |        Ei           Ek        |           Lower level            |            Upper level            |  gi   gk  |Type|         TP  |          Line  |
    Wavelength    |  Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |----------------------------------|-----------------------------------|           |    |        Ref. |          Ref.  |
     Air (nm)     |       |            |      |                               | Conf.             | Term  | J    | Conf.              | Term  | J    |           |    |             |                |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek          | L Conf            |L Term | L J  | U Conf             |U Term | U J  |   gi - gk |Type|       TP    |       Line     |
        336.0279  |     2 |            |      |  232535.949   -   262286.82   | 2s2.2p2.(3P).3d   | 4P    | 3/2  | 2s2.2p2.(3P).5p    | 2P*   | 1/2  |   4 - 2   |    |             |        L10621  |
        336.6706  |    1w |            |      |  231350.087   -   261044.03   | 2s2.2p2.(3P).3d   | 4F    | 5/2  | 2s2.2p2.(3P).5p    | 4D*   | 5/2  |   6 - 6   |    |             |        L10621  |
        337.0279  |     6 |            |      |  231296.126   -   260958.62   | 2s2.2p2.(3P).3d   | 4F    | 3/2  | 2s2.2p2.(3P).5p    | 4D*   | 3/2  |   4 - 4   |    |             |        L10621  |
        337.1683  |     9 |            |      |  231530.246   -   261180.59   | 2s2.2p2.(3P).3d   | 4F    | 9/2  | 2s2.2p2.(3P).5p    | 4D*   | 7/2  |  10 - 8   |    |             |        L10621  |
        337.4077  |     1 |            |      |  248515.30    -   278144.62   | 2s2.2p2.(3P).4p   | 2P*   | 3/2  | 2s2.2p2.(1D).5s    | 2D    | 5/2  |   4 - 6   |    |             |        L10621  |
        337.4899  |     1 |            |      |  232745.981   -   262368.05   | 2s2.2p2.(3P).3d   | 4D    | 3/2  | 2s2.2p2.(3P).5p    | 2P*   | 3/2  |   4 - 4   |    |             |        L10621  |
        337.5582  |     3 |            |      |  231427.970   -   261044.03   | 2s2.2p2.(3P).3d   | 4F    | 7/2  | 2s2.2p2.(3P).5p    | 4D*   | 5/2  |   8 - 6   |    |             |        L10621  |
        337.5606  |     2 |            |      |  231296.126   -   260911.96   | 2s2.2p2.(3P).3d   | 4F    | 3/2  | 2s2.2p2.(3P).5p    | 4D*   | 1/2  |   4 - 2   |    |             |        L10621  |
        337.6436  |     3 |            |      |  231350.087   -   260958.62   | 2s2.2p2.(3P).3d   | 4F    | 5/2  | 2s2.2p2.(3P).5p    | 4D*   | 3/2  |   6 - 4   |    |             |        L10621  |
        337.7146  |    21 | 1.33e+08   | C+   |  203942.288   -   233544.59   | 2s2.2p2.(3P).3p   | 2S*   | 1/2  | 2s2.2p2.(3P).3d    | 2P    | 1/2  |   2 - 2   |    | T6172,T6632 |        L10621  |
